accession	original_accession	description	length	taxonomy	organism	source
U06714.1	U06714.1	Human papillomavirus type 1a (3-3), complete genome [Contaminant]	7801	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;Firstpapillomavirinae;Mupapillomavirus;Mupapillomavirus 1	Human papillomavirus type 1a	Human papillomavirus type 1a
FR751330.1	FR751330.1	Human papillomavirus type 6 complete genome, isolate CAC23z [Contaminant]	8051	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;Firstpapillomavirinae;Alphapapillomavirus;Alphapapillomavirus 10	Human papillomavirus type 6	Human papillomavirus type 6
NC_000883.2	NC_000883.2	Human parvovirus B19, complete genome [Contaminant]	5596	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus primate1	Human parvovirus B19	Human parvovirus B19
NC_001436.1	NC_001436.1	Human T-lymphotropic virus 1, complete genome [Contaminant]	8507	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus;Primate T-lymphotropic virus 1	Human T-cell leukemia virus type I	Human T-cell leukemia virus type I
HM346515.1	HM346515.1	Influenza A virus (A/chicken/Karachi/NARC-100/2004(H7N3)) segment 2 polymerase PB1 (PB1) gene, complete cds [Contaminant]	2319	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Influenza A virus (A/chicken/Karachi/NARC-100/2004(H7N3))	Influenza A virus (A/chicken/Karachi/NARC-100/2004(H7N3))
CY121132.1	CY121132.1	Influenza A virus (A/New York/55/2004(H3N2)) polymerase PB2 (PB2) gene, complete cds [Contaminant]	2308	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Influenza A virus (A/New York/55/2004(H3N2))	Influenza A virus (A/New York/55/2004(H3N2))
JX513003.1	JX513003.1	Influenza B virus (B/Thailand/CU-B2390/2010) segment 1 polymerase PB1 (PB1) gene, complete cds [Contaminant]	2358	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Influenza B virus (B/Thailand/CU-B2390/2010)	Influenza B virus (B/Thailand/CU-B2390/2010)
NC_004297.1	NC_004297.1	Lassa virus segment L, complete sequence [Contaminant]	7279	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus	Mammarenavirus lassaense	Mammarenavirus lassaense
NC_001669.1	NC_001669.1	Simian virus 40 complete genome [Contaminant]	5243	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus	Betapolyomavirus macacae	Betapolyomavirus macacae
NC_010277.2	NC_010277.2	Merkel cell polyomavirus isolate R17b, complete genome [Contaminant]	5387	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus quintihominis	Merkel cell polyomavirus	Merkel cell polyomavirus
NC_003215.1	NC_003215.1	Semliki forest virus, complete genome [Contaminant]	11442	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus	Semliki Forest virus	Semliki Forest virus
NC_018463.1	NC_018463.1	Shamonda virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate Ib An 5550 [Contaminant]	6863	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus schmallenbergense	Shamonda virus	Shamonda virus
NC_018476.1	NC_018476.1	Simbu virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate SA Ar 53 [Contaminant]	6895	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus	Orthobunyavirus simbuense	Orthobunyavirus simbuense
NC_015783.1	NC_015783.1	Torque teno virus, complete genome [Contaminant]	3725	Viruses;Viruses incertae sedis;Anelloviridae	Torque teno virus	Torque teno virus (TTV)
X00578.1	X00578.1	Avian retrovirus MH2 v-mil sequence [Contaminant]	1862	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian carcinoma Mill Hill virus 2	Avian carcinoma Mill Hill virus 2
NC_001402.1	NC_001402.1	Avian carcinoma virus, complete genome [Contaminant]	2630	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian carcinoma virus	Avian carcinoma virus
M13179.1	M13179.1	Avian erythroblastosis virus (AEV) mutated V-erbB gene, complete cds [Contaminant]	1788	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Avian erythroblastosis virus	Avian erythroblastosis virus
NC_015116.1	NC_015116.1	Avian leukemia virus isolate SCDY1, complete genome [Contaminant]	7489	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Avian leukemia virus	Avian leukemia virus
HM582657.1	HM582657.1	Avian leukosis virus strain TW-3577, complete genome [Contaminant]	7749	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian leukosis virus	Avian leukosis virus
NC_001408.1	NC_001408.1	Avian leukosis virus - RSA, complete genome [Contaminant]	7286	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Avian leukosis virus - RSA	Avian leukosis virus - RSA
Z46390.1	Z46390.1	Avian leukosis virus HPRS103 (subgroup J) complete proviral sequence [Contaminant]	7841	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Avian leukosis virus HPRS103	Avian leukosis virus HPRS103
AY350569.1	AY350569.1	Avian leukosis virus LR-9 gag protein, gag/pol polyprotein, and envelope protein genes, complete cds [Contaminant]	7457	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Avian leukosis virus LR-9	Avian leukosis virus LR-9
S74099.1	S74099.1	Avian myeloblastosis virus p27/CA gene, complete cds; and polyprotein II and v-myb product genes, partial cds [Contaminant]	7226	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian myeloblastosis virus	Avian myeloblastosis virus
BD265560.1	BD265560.1	Biologically active reverse transcriptases [Contaminant]	3152	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian myeloblastosis-associated virus	Avian myeloblastosis-associated virus
L10923.1	L10923.1	Myeloblastosis-associated virus type 1/2 env gene, complete cds; gag gene, complete cds; pol gene, 3' end of cds [Contaminant]	7704	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian myeloblastosis-associated virus	Avian myeloblastosis-associated virus 1/2	Avian myeloblastosis-associated virus 1/2
L10922.1	L10922.1	Avian myeloblastosis-associated virus type 1 env (env) and gag (gag) genes, complete cds; and pol (pol) gene, partial cds [Contaminant]	7708	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian myeloblastosis-associated virus	Avian myeloblastosis-associated virus type 1	Avian myeloblastosis-associated virus type 1
L10924.1	L10924.1	Myeloblastosis-associated virus type 2 env gene, complete cds; gag gene, complete cds; pol gene, 3' end of cds [Contaminant]	7726	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian myeloblastosis-associated virus	Avian myeloblastosis-associated virus type 2	Avian myeloblastosis-associated virus type 2
NC_001866.1	NC_001866.1	Avian myelocytomatosis virus, complete genome [Contaminant]	3392	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian myelocytomatosis virus	Avian myelocytomatosis virus
M92847.1	M92847.1	Avian retrovirus tyrosine kinase (v-ryk) oncogene mRNA, complete cds, and glycoprotein 85 (gp85) mRNA, 3' end [Contaminant]	3010	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian retrovirus	Avian retrovirus
X13744.1	X13744.1	Avian Retrovirus IC10 proviral genome [Contaminant]	4213	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian retrovirus IC10	Avian retrovirus IC10
X51863.1	X51863.1	Avian Sarcoma Virus PR2257T [Contaminant]	4503	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian sarcoma virus	Avian sarcoma virus
Y00302.1	Y00302.1	Avian sarcoma virus CT10 genomic sequence [Contaminant]	2428	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Avian sarcoma virus CT10	Avian sarcoma virus CT10
NC_001403.1	NC_001403.1	Fujinami sarcoma virus, complete genome [Contaminant]	4788	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Fujinami sarcoma virus	Fujinami sarcoma virus
X77628.1	X77628.1	G.gallus (Brown Leghorn Edinburgh) Retrovirus IC4 v-Mil gene [Contaminant]	3032	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae	IC4 retrovirus	IC4 retrovirus
NC_001407.1	NC_001407.1	Rous sarcoma virus, complete genome [Contaminant]	9392	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Rous sarcoma virus	Rous sarcoma virus
J02342.1	J02342.1	Rous sarcoma virus - Prague C, complete genome [Contaminant]	9625	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Rous sarcoma virus	Rous sarcoma virus - Prague C	Rous sarcoma virus - Prague C
AF052428.1	AF052428.1	Rous sarcoma virus strain Schmidt-Ruppin B, complete genome [Contaminant]	9396	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Rous sarcoma virus	Rous sarcoma virus - Schmidt-Ruppin B	Rous sarcoma virus - Schmidt-Ruppin B
D10652.1	D10652.1	Rous sarcoma virus - Schmidt-Ruppin D genomic RNA, complete genome [Contaminant]	9317	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Rous sarcoma virus	Rous sarcoma virus - Schmidt-Ruppin D	Rous sarcoma virus - Schmidt-Ruppin D
M62407.1	M62407.1	Rous associated virus type 1 Rmil gene, complete cds [Contaminant]	2326	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Rous-associated virus type 1	Rous-associated virus type 1
D21237.1	D21237.1	Rous-associated virus type 2 proviral RNA for protease and reverse transcriptase, partial and complete cds [Contaminant]	3251	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Rous-associated virus type 2	Rous-associated virus type 2
KC845928.1	KC845928.1	Tasmanian devil retrovirus strain DRV2010 polymerase (pol) and envelope protein (env) genes, partial cds [Contaminant]	3228	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Tasmanian devil retrovirus	Tasmanian devil retrovirus
NC_001618.1	NC_001618.1	UR2 sarcoma virus, complete genome [Contaminant]	3166	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	UR2 sarcoma virus	UR2 sarcoma virus
NC_008094.1	NC_008094.1	Y73 sarcoma virus, complete genome [Contaminant]	5188	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Y73 sarcoma virus	Y73 sarcoma virus
KF170373.1	KF170373.1	Parvo-like hybrid virus UC1, complete genome [Contaminant]	3638	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC1	Parvo-like hybrid virus UC1
KF214639.1	KF214639.1	Parvo-like hybrid virus UC10, partial genome [Contaminant]	3592	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC10	Parvo-like hybrid virus UC10
KF214638.1	KF214638.1	Parvo-like hybrid virus UC11, complete genome [Contaminant]	3637	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC11	Parvo-like hybrid virus UC11
KF214637.1	KF214637.1	Parvo-like hybrid virus UC12, partial genome [Contaminant]	3579	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC12	Parvo-like hybrid virus UC12
KF214646.1	KF214646.1	Parvo-like hybrid virus UC2, partial genome [Contaminant]	3625	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC2	Parvo-like hybrid virus UC2
KF214647.1	KF214647.1	Parvo-like hybrid virus UC3, partial genome [Contaminant]	3554	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC3	Parvo-like hybrid virus UC3
KF214645.1	KF214645.1	Parvo-like hybrid virus UC4, complete genome [Contaminant]	3638	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC4	Parvo-like hybrid virus UC4
KF214644.1	KF214644.1	Parvo-like hybrid virus UC5, partial genome [Contaminant]	3636	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC5	Parvo-like hybrid virus UC5
KF214643.1	KF214643.1	Parvo-like hybrid virus UC6, partial genome [Contaminant]	3542	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC6	Parvo-like hybrid virus UC6
KF214642.1	KF214642.1	Parvo-like hybrid virus UC7, partial genome [Contaminant]	3608	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC7	Parvo-like hybrid virus UC7
KF214641.1	KF214641.1	Parvo-like hybrid virus UC8, partial genome [Contaminant]	3603	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC8	Parvo-like hybrid virus UC8
KF214640.1	KF214640.1	Parvo-like hybrid virus UC9, complete genome [Contaminant]	3638	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Parvovirus NIH-CQV	Parvo-like hybrid virus UC9	Parvo-like hybrid virus UC9
NC_022089.1	NC_022089.1	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds [Contaminant]	3780	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae	Parvovirus NIH-CQV	Parvovirus NIH-CQV
NC_001501.1	NC_001501.1	Moloney murine leukemia virus, complete genome [Contaminant]	8332	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia virus	Moloney murine leukemia virus	Moloney murine leukemia virus (MoMLV)
NC_001502.1	NC_001502.1	Moloney murine sarcoma virus, complete genome [Contaminant]	5833	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus	Moloney murine sarcoma virus	Moloney murine sarcoma virus
KJ668271.1	KJ668271.1	Polytropic murine leukemia virus, complete genome [Contaminant]	8203	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia virus	Polytropic murine leukemia virus	Polytropic murine leukemia virus
KF584029.1	KF584029.1	PreXMRV-1/PreXMRV-2 recombinant clone A-a1 gag-pro-pol polyprotein and envelope protein genes, partial cds [Contaminant]	2591	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia-related retroviruses	PreXMRV-1/PreXMRV-2 recombinant	PreXMRV-1/PreXMRV-2 recombinant
FJ957930.1	FJ957930.1	ASFV-like virus WU isolate UA.7, genomic sequence [Contaminant]	673	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae	ASFV-like virus WU	ASFV-like virus WU
JN377566.1	JN377566.1	Bat circovirus ZS/Yunnan-China/2009 isolate 01238 replication-associated protein gene, complete cds [Contaminant]	1761	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Circovirus	Bat circovirus ZS/Yunnan-China/2009	Bat circovirus ZS/Yunnan-China/2009
JN837698.1	JN837698.1	Circovirus-like NI/2007-3 rep protein gene, partial cds [Contaminant]	572	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae	Circovirus-like NI/2007-3	Circovirus-like NI/2007-3
NC_025959.1	NC_025959.1	Dromedary stool-associated circular ssDNA virus isolate DcSCV_c954, complete genome [Contaminant]	2948	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cremevirales;Smacoviridae	Dromedary stool-associated circular ssDNA virus	Dromedary stool-associated circular ssDNA virus
NC_001479.1	NC_001479.1	Encephalomyocarditis virus, complete genome [Contaminant]	7835	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Cardiovirus;Cardiovirus A	Encephalomyocarditis virus	Encephalomyocarditis virus
NC_014326.1	NC_014326.1	Mus musculus papillomavirus type 1 isolate MusPV, complete genome [Contaminant]	7510	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;Firstpapillomavirinae;Pipapillomavirus;Pipapillomavirus 2	Mus musculus papillomavirus type 1	Mus musculus papillomavirus type 1
NC_024447.1	NC_024447.1	Pigeonpox virus isolate FeP2, complete genome [Contaminant]	282356	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Avipoxvirus	Pigeonpox virus	Pigeonpox virus
NC_005148.1	NC_005148.1	Porcine circovirus 2, complete genome [Contaminant]	1768	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Circovirus;Circovirus porcine2	Porcine circovirus 2	Porcine circovirus 2
AB624500.2	AB624500.2	Porcine kobuvirus Japan/2009 gene for polyprotein, VP1-2A-2B region, partial cds, strain: T182/2009/JP [Contaminant]	2206	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Kodimesavirinae;Kobuvirus;Kobuvirus cebes	Porcine kobuvirus Japan/2009	Porcine kobuvirus Japan/2009
NC_001961.1	NC_001961.1	Porcine respiratory and reproductive syndrome virus, complete genome [Contaminant]	15428	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Arnidovirineae;Arteriviridae;Variarterivirinae;Betaarterivirus;Ampobartevirus;Betaarterivirus americense	Porcine reproductive and respiratory syndrome virus	Porcine reproductive and respiratory syndrome virus
AJ011380.1	AJ011380.1	Porcine enterovirus 1 serotype 1 RNA for complete polyprotein, isolate F65 [Contaminant]	7117	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Teschovirus;Teschovirus A	teschovirus A1	teschovirus A1
NC_000858.1	NC_000858.1	Primate T-lymphotropic virus 1, complete genome [Contaminant]	9028	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Primate T-lymphotropic virus 1	Primate T-lymphotropic virus 1
NC_006151.1	NC_006151.1	Suid herpesvirus 1, complete genome [Contaminant]	143461	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Alphaherpesvirinae;Varicellovirus;Varicellovirus suidalpha1	Suid alphaherpesvirus 1	Suid alphaherpesvirus 1
AY571851.1	AY571851.1	Vulture herpesvirus DNA polymerase (UL30) gene, complete cds [Contaminant]	3660	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Alphaherpesvirinae	Vulture herpesvirus	Vulture herpesvirus
NC_005041.2	NC_005041.2	Blattella germanica densovirus 1, complete genome [Contaminant]	5335	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Blattambidensovirus;Blattambidensovirus blattodean1	Blattella germanica densovirus 1	Blattella germanica densovirus 1
JQ320376.1	JQ320376.1	Blattella germanica densovirus-like virus non-structural proteins and structural proteins genes, complete cds [Contaminant]	5166	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae	Blattella germanica densovirus-like virus	Blattella germanica densovirus-like virus
NC_012685.1	NC_012685.1	Culex pipiens densovirus, complete genome [Contaminant]	5759	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Protoambidensovirus;Protoambidensovirus dipteran1	Culex pipiens densovirus	Culex pipiens densovirus
JN857345.1	JN857345.1	Densovirus SC2121 VP1 gene, partial cds [Contaminant]	653	Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;unclassified Densovirus	Densovirus SC2121	Densovirus SC2121
NC_015718.1	NC_015718.1	Helicoverpa armigera densovirus, complete genome [Contaminant]	4926	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Iteradensovirus;Iteradensovirus lepidopteran5	Helicoverpa armigera densovirus	Helicoverpa armigera densovirus
